state,religiosity,stfp
Alabama,0.77,1
Mississippi,0.74,28
Tennessee,0.71,47
Louisiana,0.71,22
Arkansas,0.7,5
South Carolina,0.69,45
West Virginia,0.64,54
Georgia,0.64,13
Oklahoma,0.64,40
Texas,0.63,48
Kentucky,0.63,21
North Carolina,0.62,37
Virginia,0.6,51
New Mexico,0.59,35
Utah,0.58,49
South Dakota,0.57,46
Missouri,0.56,29
Ohio,0.56,39
Nebraska,0.54,31
Iowa,0.53,19
Florida,0.53,12
Indiana,0.53,18
North Dakota,0.53,38
Arizona,0.51,4
Pennsylvania,0.51,42
Idaho,0.51,16
Kansas,0.5,20
New Jersey,0.5,34
Maryland,0.5,24
District of Columbia,0.5,11
Michigan,0.5,26
Illinois,0.5,17
Wyoming,0.49,56
Rhode Island,0.48,44
California,0.47,6
Colorado,0.47,8
Delaware,0.46,10
Minnesota,0.46,27
Oregon,0.45,41
New York,0.45,36
Nevada,0.44,32
Montana,0.44,30
Hawaii,0.44,15
Washington,0.44,53
Wisconsin,0.44,55
Connecticut,0.42,9
Alaska,0.41,2
Maine,0.34,23
Massachusetts,0.33,25
New Hampshire,0.33,33
Vermont,0.32,50
